"slug","profile_url","trading_name","legal_name","company_code","city","street_address","postcode","region_label","website","public_phone","contact_route_status","categories","public_source_urls","verification_date"
"baldu-arsenalas","https://www.baldininkai.org/gamintojas/baldu-arsenalas/","Baldų Arsenalas","UAB Baldų arsenalas","302667209","Vilnius","Kaniaviškių g. 6A-2, Vilnius","LT-11311","Vilnius, rytų ir pietų Lietuva","https://www.balduarsenalas.lt/","+370 637 66669","public_phone_and_contact_url","Virtuvės baldai | Spintos ir įmontuojami baldai | Miegamojo ir vonios baldai | Biuro ir komerciniai baldai","https://www.balduarsenalas.lt/ | https://rekvizitai.vz.lt/en/company/baldu_arsenalas/","2026-07-28"
"dgt-baldai","https://www.baldininkai.org/gamintojas/dgt-baldai/","DGT Baldai","UAB DGT Baldai","302668656","Vilnius","Ramybės g. 4-70, Vilnius","LT-02103","Vilnius, rytų ir pietų Lietuva","https://www.dgtbaldai.lt/","+370 687 15712","public_phone_and_contact_url","Virtuvės baldai | Spintos ir įmontuojami baldai | Miegamojo ir vonios baldai","https://www.dgtbaldai.lt/ | https://rekvizitai.vz.lt/en/company/dgt_baldai/","2026-07-28"
"sostines-baldai","https://www.baldininkai.org/gamintojas/sostines-baldai/","Sostinės baldai","UAB Sostinės baldai","300610679","Vilnius","Žirmūnų g. 70, ""KLASIKOS NAMAI"" 3 aukštas 11 kab., Vilnius","LT-09124","Vilnius, rytų ir pietų Lietuva","https://sostinesbaldai.lt/","+370 5 2388810","public_phone_and_contact_url","Virtuvės baldai | Miegamojo ir vonios baldai | Biuro ir komerciniai baldai | HoReCa ir prekybos baldai","https://sostinesbaldai.lt/ | https://www.info.lt/imones/Sostin%C4%97s-baldai-Ekspozicinis-salonas-UAB/2208855 | https://rekvizitai.vz.lt/en/company/sostines_baldai/","2026-07-28"
"busto-baldai","https://www.baldininkai.org/gamintojas/busto-baldai/","Būsto baldai","UAB Būsto baldai","302301884","Vilnius","Karaliaučiaus g. 6-178, Vilnius","","Vilnius, rytų ir pietų Lietuva","","+370 670 42430","public_phone","Kiti nestandartiniai baldai","https://rekvizitai.vz.lt/paieskos-frazes/Baldai+pagal+u%C5%BEsakym%C4%85/vilnius/ | https://rekvizitai.vz.lt/en/company/busto_baldai/","2026-07-28"
"baldu-nestandartas","https://www.baldininkai.org/gamintojas/baldu-nestandartas/","Baldų nestandartas","UAB Baldų nestandartas","305566069","Vilnius","Vaidagų g. 48, Vilnius","","Vilnius, rytų ir pietų Lietuva","https://nestandartas.lt/","+370 600 66860","public_phone_and_contact_url","Virtuvės baldai | Spintos ir įmontuojami baldai | Miegamojo ir vonios baldai","https://nestandartas.lt/ | https://rekvizitai.vz.lt/en/company/baldu_nestandartas/","2026-07-28"
"ar-bald","https://www.baldininkai.org/gamintojas/ar-bald/","Ar Bald","UAB Ar Bald","301722834","Vilnius","Žirmūnų g. 117-97, Vilnius","LT-09118","Vilnius, rytų ir pietų Lietuva","https://arbald.lt/","+370 656 52739","public_phone_and_contact_url","Virtuvės baldai | Spintos ir įmontuojami baldai | Miegamojo ir vonios baldai | Biuro ir komerciniai baldai | Medžio darbai ir medžio masyvo baldai","https://arbald.lt/ | https://arbald.lt/en/home-2/ | https://rekvizitai.vz.lt/en/company/ar_bald/","2026-07-28"
"evaldo-baldai","https://www.baldininkai.org/gamintojas/evaldo-baldai/","Evaldo baldai","UAB Evaldo baldai","303053420","Vilnius","Bedugnės g. 7-2, Vilnius","","Vilnius, rytų ir pietų Lietuva","","+370 676 42229","public_phone","Kiti nestandartiniai baldai","https://www.info.lt/imones/Evaldo-baldai-UAB/2335694 | https://rekvizitai.vz.lt/en/company/evaldo_baldai/","2026-07-28"
"viruna","https://www.baldininkai.org/gamintojas/viruna/","Viruna","UAB Virūna","134208094","Vilnius","Baldininkų g. 13, Karmėlava, Kauno r.","LT-54448","Vilnius, rytų ir pietų Lietuva","https://viruna.lt/pages/about","+370 37 311143","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://viruna.lt/pages/about | https://www.1551.lt/viruna-uab-119617/ | https://rekvizitai.vz.lt/en/company/viruna/","2026-07-28"
"fitsout","https://www.baldininkai.org/gamintojas/fitsout/","FITSOUT","UAB Fitsout","304497638","Vilnius","Saltoniškių g. 29, Vilnius","LT-08105","Vilnius, rytų ir pietų Lietuva","https://fitsout.com/","+370 655 51537","public_phone_and_contact_url","HoReCa ir prekybos baldai","https://fitsout.com/ | https://rekvizitai.vz.lt/en/company/fitsout/","2026-07-28"
"enven","https://www.baldininkai.org/gamintojas/enven/","ENVEN","UAB Inovaciniai virtuozai","303342065","Vilnius","J. Galvydžio g. 5, Vilnius","LT-08236","Vilnius, rytų ir pietų Lietuva","https://enven.lt/","+370 604 21851","public_phone_and_contact_url","Biuro ir komerciniai baldai | HoReCa ir prekybos baldai","https://enven.lt/ | https://rekvizitai.vz.lt/en/company/inovaciniai_virtuozai/","2026-07-28"
"solid-supply","https://www.baldininkai.org/gamintojas/solid-supply/","Solid Supply","UAB Solid Supply","302250870","Vilnius","Eišiškių pl. 34, Vilnius","LT-02184","Vilnius, rytų ir pietų Lietuva","https://www.solidsupply.com/","+370 687 33755","public_phone_and_contact_url","HoReCa ir prekybos baldai","https://www.solidsupply.com/ | https://rekvizitai.vz.lt/en/company/uab_solid_supply/","2026-07-28"
"kigi-lt","https://www.baldininkai.org/gamintojas/kigi-lt/","KIGI LT","UAB KIGI LT","303334307","Vilnius","V. Nagevičiaus g. 3, Vilnius","","Vilnius, rytų ir pietų Lietuva","","+370 654 70905","public_phone","Kiti nestandartiniai baldai","https://rekvizitai.vz.lt/paieskos-frazes/AS-Baldai/ | https://rekvizitai.vz.lt/en/company/sedile/","2026-07-28"
"saltum","https://www.baldininkai.org/gamintojas/saltum/","Saltum","UAB Saltum","302486237","Ąžuolinės k., Vilniaus r.","Prašiškių gatvė 53, Ąžuolinės k., Vilniaus r.","LT-14332","Vilnius, rytų ir pietų Lietuva","","+370 608 44489","public_phone","Kiti nestandartiniai baldai","https://www.1551.lt/saltum-uab-193942/ | https://rekvizitai.vz.lt/en/company/saltum/","2026-07-28"
"ukas","https://www.baldininkai.org/gamintojas/ukas/","Ūkas","UAB Ūko baldai","302335947","Vilnius","J. Basanavičiaus g. 14","LT-03224","Vilnius, rytų ir pietų Lietuva","https://www.ukas.lt/en/","","public_contact_url","Biuro ir komerciniai baldai | HoReCa ir prekybos baldai","https://www.ukas.lt/en/ | https://rekvizitai.vz.lt/en/company/uko_baldai_uab/","2026-07-28"
"protingi-baldai","https://www.baldininkai.org/gamintojas/protingi-baldai/","Protingi baldai","UAB Protingi baldai","302652602","Vilnius","Šaltkalvių g. 20-45, Vilnius","LT-02178","Vilnius, rytų ir pietų Lietuva","","+370 657 42519","public_phone","Virtuvės baldai | Spintos ir įmontuojami baldai | Miegamojo ir vonios baldai","https://geltoni.lt/imones/protingi-baldai-uab/19598 | https://rekvizitai.vz.lt/en/company/uab_protingi_baldai/","2026-07-28"
