# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0) - https://creativecommons.org/licenses/by/4.0/
# Attribution: Šaltinis: Baldininkai.org viešų šaltinių Lietuvos baldų gamintojų kandidatų katalogas, https://www.baldininkai.org/atviri-duomenys/, versija 2026-08-07
# Generated: 2026-08-07
# Version: 2026-08-07
# Source: Baldininkai.org - https://www.baldininkai.org - open data: https://www.baldininkai.org/atviri-duomenys/
# Records: 1420
# Official source: Juridinių asmenų registro (Registrų centro) finansinių ataskaitų duomenys Lietuvos atvirų duomenų portale - https://data.gov.lt/datasets/1484/ - API model: datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita
# Financial periods: 4652
"slug","profile_url","trading_name","legal_name","company_code","fiscal_period_start","fiscal_period_end","filing_registration_date","revenue_eur","profit_before_tax_eur","financial_source_url","financial_api_model_path","jar_entity_id","revenue_api_record_id","revenue_line_name","revenue_evidence_registration_date","profit_before_tax_api_record_id","profit_before_tax_line_name","profit_before_tax_evidence_registration_date","standard_names","template_names"
"baldu-arsenalas","https://www.baldininkai.org/gamintojas/baldu-arsenalas/","Baldų Arsenalas","UAB Baldų arsenalas","302667209","2021-01-01","2021-12-31","2023-06-19","629269","110219","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","c19be83f-130b-43ec-b0a5-cf2cdf197920","c598982e-ff14-4194-a86c-1774babc0bff","PARDAVIMO PAJAMOS","2023-06-19","fc48a5b5-94c7-4bf8-ae04-7d409a83e244","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2023-06-19","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"baldu-arsenalas","https://www.baldininkai.org/gamintojas/baldu-arsenalas/","Baldų Arsenalas","UAB Baldų arsenalas","302667209","2020-01-01","2020-12-31","2023-06-01","555231","72396","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","c19be83f-130b-43ec-b0a5-cf2cdf197920","d800665c-c856-452b-b563-49042f77b5ba","PARDAVIMO PAJAMOS","2023-06-01","fe05c774-47af-43db-8661-a8ebd09e897f","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2023-06-01","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"baldu-arsenalas","https://www.baldininkai.org/gamintojas/baldu-arsenalas/","Baldų Arsenalas","UAB Baldų arsenalas","302667209","2019-01-01","2019-12-31","2023-06-01","491600","59856","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","c19be83f-130b-43ec-b0a5-cf2cdf197920","f5235789-6759-4c26-858c-214058576a18","PARDAVIMO PAJAMOS","2023-06-01","ab5b4e8c-4295-4ab7-be2b-4b137bb238b9","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2023-06-01","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"baldu-arsenalas","https://www.baldininkai.org/gamintojas/baldu-arsenalas/","Baldų Arsenalas","UAB Baldų arsenalas","302667209","2018-01-01","2018-12-31","2023-06-01","418004","29408","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","c19be83f-130b-43ec-b0a5-cf2cdf197920","c7324d5e-4baa-4814-9372-5f1073bdd969","PARDAVIMO PAJAMOS","2023-06-01","974457c6-c72a-4232-82e1-a4530d30bb62","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2023-06-01","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"dgt-baldai","https://www.baldininkai.org/gamintojas/dgt-baldai/","DGT Baldai","UAB DGT Baldai","302668656","2024-01-01","2024-12-31","2025-06-02","327870","-7291","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","a30b464f-5b7e-4206-a53f-cdd46f44dffe","fb46023f-f442-4574-a053-59a6ea4fdd30","PARDAVIMO PAJAMOS","2025-06-02","dbf4dbf7-56c0-4ffd-a546-41daccd498b2","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2025-06-02","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"dgt-baldai","https://www.baldininkai.org/gamintojas/dgt-baldai/","DGT Baldai","UAB DGT Baldai","302668656","2023-01-01","2023-12-31","2024-05-24","294438","4801","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","a30b464f-5b7e-4206-a53f-cdd46f44dffe","73b57c60-334a-4642-8d00-994dab6c578a","PARDAVIMO PAJAMOS","2024-05-24","cd9da258-f220-4e68-a418-a6ea99fce9d3","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2024-05-24","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"dgt-baldai","https://www.baldininkai.org/gamintojas/dgt-baldai/","DGT Baldai","UAB DGT Baldai","302668656","2022-01-01","2022-12-31","2023-05-19","368488","24912","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","a30b464f-5b7e-4206-a53f-cdd46f44dffe","3b29c3c9-188e-4753-8fcd-dddfec5cc49b","PARDAVIMO PAJAMOS","2023-05-19","5fbd4b4e-05e4-4fe1-8b3c-bad5b87be36f","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2023-05-19","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"dgt-baldai","https://www.baldininkai.org/gamintojas/dgt-baldai/","DGT Baldai","UAB DGT Baldai","302668656","2021-01-01","2021-12-31","2022-05-31","364581","36776","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","a30b464f-5b7e-4206-a53f-cdd46f44dffe","f617b7c3-79b8-45da-b8a1-1b08bc91e2f5","PARDAVIMO PAJAMOS","2022-05-31","42990131-ee9b-41f4-b1c9-00fc47cbcd94","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2022-05-31","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"sostines-baldai","https://www.baldininkai.org/gamintojas/sostines-baldai/","Sostinės baldai","UAB Sostinės baldai","300610679","2024-01-01","2024-12-31","2025-04-29","335800","1227","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","c402cbee-14c2-47b6-a730-191beeb404d7","cdb5540b-5223-479a-9f94-7f7d31240d4a","PARDAVIMO PAJAMOS","2025-04-29","4bdde804-1ac4-467c-8d45-5b8d5b16e6dd","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2025-04-29","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
"sostines-baldai","https://www.baldininkai.org/gamintojas/sostines-baldai/","Sostinės baldai","UAB Sostinės baldai","300610679","2023-01-01","2023-12-31","2024-05-22","294835","-10172","https://data.gov.lt/datasets/1484/","datasets/gov/rc/jar/pelno_ataskaitos/PelnoAtaskaita","c402cbee-14c2-47b6-a730-191beeb404d7","f48b6ffd-827b-4319-bb8f-eaae8ddf9e63","PARDAVIMO PAJAMOS","2024-05-22","72f5b20f-5491-43e6-9c41-772354b379de","PELNAS (NUOSTOLIAI) PRIEŠ APMOKESTINIMĄ","2024-05-22","PELNO (NUOSTOLIŲ) ATASKAITA","Mažų ir labai mažų įmonių, netaikančių išimčių, finansinių ataskaitų rinkinys"
